"","Donor","Species","Date","User","slice_type","Slice_ID","cell_name","nwb_file","pxp_file","Brain_Region","Depth_from_pia","LIMS_depth","LIMS_20x","LIMS_63x","LIMS_layer","sample_id","Experiment","protocols","Fast_blockers","puff_drug","wash_drug","bath_drug","drug","Drug_concentration","DIV","Virus","DPI","Reporter_positive","Donor_date","class_Corr","class_Tree","subclass_Tree","subclass_Corr","cluster_Tree","cluster_Corr","score.Corr","score.Tree","marker_sum_norm","percent_reads_aligned_to_introns","Genes.Detected","quality_score","cluster","cluster_score","Cortical_area","predicted_subclass","subclass_Tree.classifier"
"1264","Q20.26.020","M.nemestrina",2020-08-31,"Brian","NHPacute","Q20.26.020.11.05.01","Q20.26.020.11.05.01.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.020/Q20.26.020.11.05.01.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.020/Q20.26.020.11.05.01.01.pxp","Temporal",2000,NA,"http://lims2/drawing_tool?image_series=1051338937","none","L5","PQS4_200831_303_A01","Patch-seq","noise, multiple Vm, channels",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-08-31,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.54940429095723,0.99,0.693124312230791,15.7825574940881,5222,0.438422411058152,"L5_IT_2","0.99","TCx",NA,NA
"1265","Q20.26.021","M.nemestrina",2020-09-15,"Brian","NHPacute","Q20.26.021.11.01","Q20.26.021.11.01.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.01.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.01.01.pxp","Temporal",1804,1674,"http://lims2/drawing_tool?image_series=1053313786","defer","L5","PQS4_200915_301_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-09-15,"exc","exc","L6_IT","L6_IT","L6_IT_1","L6_IT_1",0.436202006278685,0.57,0.675375789517151,3.8381949659953,6458,0.373363345303104,"n14","1.00","TCx","L5_IT","none"
"1266","Q20.26.021","M.nemestrina",2020-09-15,"Brian","NHPacute","Q20.26.021.11.01","Q20.26.021.11.01.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.01.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.01.02.pxp","Temporal",1500,1361,"http://lims2/drawing_tool?image_series=1053313786","defer","L5","PQS4_200915_302_A01","Patch-seq","extended FI, noise",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-09-15,"exc","exc","L5_ET","L5_ET","L5_ET_2","L5_ET_2",0.783722996542503,1,0.965711443979282,47.95877509103,8392,0.644208193462409,"L5_ET_2","1.00","TCx","L5_ET","L5_ET"
"1269","Q20.26.021","M.nemestrina",2020-09-15,"Brian","NHPacute","Q20.26.021.11.14","Q20.26.021.11.14.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.14.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.14.01.pxp","Temporal",452,365,"http://lims2/drawing_tool?image_series=1053313859","candidate","L3","PQS4_200915_305_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-09-15,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_3","L2/3_IT_3",0.412426222639783,0.2,0.498549405434586,9.42213095673376,4111,0.322801582952654,"n1","1","TCx","L2/3_IT","none"
"1272","Q20.26.021","M.nemestrina",2020-09-15,"Brian","NHPacute","Q20.26.021.11.14","Q20.26.021.11.14.04","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.14.04-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.14.04.pxp","Temporal",1600,1376,"http://lims2/drawing_tool?image_series=1053313859","defer","L5","PQS4_200915_306_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-09-15,"exc","exc","L6b","L6b","L6b_1","L6b_1",0.414745172051863,0.47,0.537330054925654,4.09359441012211,4481,0.374272397932193,"n2","1.00","TCx","L5_IT","none"
"1273","Q20.26.021","M.nemestrina",2020-09-16,"Brian","NHPacute","Q20.26.021.11.15","Q20.26.021.11.15.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.15.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.15.01.pxp","Temporal",1200,1208,"http://lims2/drawing_tool?image_series=1053313894","defer","L5","PQS4_200916_301_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-09-16,"exc","exc","L5_ET","L5_ET","L5_ET_2","L5_ET_2",0.7354486793755,0.86,0.950010191966563,43.8752451259443,7290,0.619533254078155,"L5_ET_2","0.86","TCx","L5_ET","L5_ET"
"1274","Q20.26.021","M.nemestrina",2020-09-16,"Brian","NHPacute","Q20.26.021.11.15","Q20.26.021.11.15.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.15.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.021/Q20.26.021.11.15.02.pxp","Temporal",1400,1513,"http://lims2/drawing_tool?image_series=1053313894","defer","L5","PQS4_200916_302_A01","Patch-seq","noise",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-09-16,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.461471331787221,0.66,0.600844309736316,4.42736083031234,5544,0.458975701706218,"n15","0.86","TCx","L5_IT","none"
"1283","Q20.26.026","M.nemestrina",2020-11-10,"Brian","NHPacute","Q20.26.026.11.02","Q20.26.026.11.02.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.11.02.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.11.02.01.pxp","Temporal",1600,1327,"http://lims2/drawing_tool?image_series=1065887322","http://lims2/siv?sub_image=1099686856","L5","PQS4_201110_302_A01","Patch-seq","channels",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-11-10,"exc","exc","L2/3_IT","L2/3_IT","L2/3_IT_1","L2/3_IT_1",0.672046790717622,0.54,0.934123054115351,54.3478298002283,6701,0.568175096459644,"n14","1.00","TCx","L2/3_IT","L2/3_IT"
"1284","Q20.26.026","M.nemestrina",2020-11-10,"Brian","NHPacute","Q20.26.026.11.02","Q20.26.026.11.02.02","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.11.02.02-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2020/Q20.26.026/Q20.26.026.11.02.02.pxp","Temporal",1732,1492,"http://lims2/drawing_tool?image_series=1065887322","http://lims2/siv?sub_image=1099686856","L5","PQS4_201110_303_A01","Patch-seq",NA,NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2020-11-10,"exc","exc","L5/6_NP","L5/6_NP","L5/6_NP_1","L5/6_NP_1",0.661211465669568,1,0.871189555790416,47.2545151149731,6579,0.560438861919857,"L5/6_NP_1","1.00","TCx","L5/6_NP","L5/6_NP"
"1287","Q21.26.001","M.mulatta",2021-01-12,"Brian","NHPacute","Q21.26.001.11.02","Q21.26.001.11.02.01","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.001/Q21.26.001.11.02.01-compressed.nwb","//allen/programs/celltypes/workgroups/hct/HCT_Ephys_Data/NHP_expts/2021/Q21.26.001/Q21.26.001.11.02.01.pxp","Temporal",1950,1682,"http://lims2/drawing_tool?image_series=1078776500","defer","L5","PQS4_210112_301_A01","Patch-seq","channels",NA,NA,NA,NA,NA,"NULL","0",NA,NA,NA,2021-01-12,"exc","exc","L5_IT","L5_IT","L5_IT_2","L5_IT_2",0.497550505824712,0.52,0.713389629773727,35.6596576303862,3364,0.312458461944287,"n13","0.99","TCx","L5_IT","L5_IT"
