,cell_name,peak_ratio_chirp,peak_freq,db_freq,low_freq_impedance_chirp,high_freq_impedance_chirp,peak_impedance_chirp,phase_peak_chirp,phase_low,phase_high,sync_freq_chirp,total_inductive_phase_chirp,v_baseline_chirp,input_resistance,input_resistance_ss,SSRn,sag_ratio,sag,Vm_VI,tau,Donor,Species,Specie,slice_type,Preparation,sample_id,Brain_Region,Overall Brain Region,drug,Drug_concentration,Virus,Reporter_positive,Delivery_method,DIV,ROI_major,score.Corr_label,cluster_Corr,subclass_Corr_label,patched_cell_container_label,HCN1,HCN2,HCN3,HCN4,PEX5L,Genes.Detected_label,percent_reads_aligned_to_introns_label,marker_sum_norm_label,quality_score_label,pia_depth,pia_distance,layer
90,QN22.26.033.11.11.03,1.393544378,3.60107312,14.35427757,58.637777,35.445807,81.714344,-0.167421839,0.062307422,-0.935861756,2.150640891,0.003756392,-60.0156067,69.97929238,52.13224978,52.13224978,1.342341692,0.237286061,-61.07810593,9.253781,QN22.26.033,M.nemestrina,Macaque,NHP_acute,acute,,STG,Temporal,,,,,,,TCx,,,,,,,,,,,,,,466,466,L3
91,QN22.26.034.11.01.01,1.22579398,2.500745222,7.352190953,157.68949,48.870478,193.294828,-0.16762901,0.137049679,-0.850780735,1.450432229,0.001787591,-58.7398164,155.934232,117.5583801,117.5583801,1.326440802,0.263889492,-57.69942856,15.639128,QN22.26.034,M.nemestrina,Macaque,NHP_acute,acute,PKS4_221006_225_A01,STG,Temporal,,,,,,,TCx,0.769036567,L2/3 IT_1,L2/3 IT,PKS4_221006_225_A01,310.3772414,17.73584236,0,0,543.8991658,6994,55.5316906,1.009135699,0.682996926,524,524,L3
92,QN22.26.034.11.01.03,1.760625444,3.350998598,7.552250571,89.452942,31.4847,157.493125,-0.216085966,-0.186639424,-1.13018715,1.950581273,0.00404974,-56.47280637,113.9512913,73.04185919,73.04185919,1.560082021,0.368790895,-56.65834427,16.125828,QN22.26.034,M.nemestrina,Macaque,NHP_acute,acute,,STG,Temporal,,,,,,,TCx,,,,,,,,,,,,,,518,518,L3
93,QN22.26.034.11.02.02,1.614189118,4.801430826,10.70318955,61.39642,26.610015,99.105432,-0.231084306,0.168624988,-0.935719582,3.250968789,0.006412903,-63.82594142,95.38798152,64.65358631,64.65358631,1.475370308,0.354626179,-65.8785553,14.990016,QN22.26.034,M.nemestrina,Macaque,NHP_acute,acute,PSS4_221006_751_A01,STG,Temporal,,,,,,,TCx,0.766628018,L2/3 IT_1,L2/3 IT,PSS4_221006_751_A01,825.4163234,1.624835282,0,0,987.8998517,8075,69.42011959,1.038598044,0.715393315,691,691,L3
94,SS22.26.035.11.01.02,1.181775473,4.041109559,11.52464578,121.851625,49.971768,144.001262,-0.255045055,0.023221767,-0.95975739,0.798243864,0.001379555,-67.31333393,108.0930023,85.2975769,85.2975769,1.267245873,0.201774403,-66.6936264,10.973412,SC22.26.035,S.sciureus,,NHP_acute,acute,none,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,251,251,L3
95,SS22.26.035.11.01.03,1.187082428,2.145280383,10.2274995,77.906607,27.122947,92.481564,-0.105176562,0.052967903,-1.105402735,1.097585312,0.001536306,-67.09013323,79.73837981,60.94452317,60.94452317,1.308376466,0.219639868,-66.26932526,12.936604,SC22.26.035,S.sciureus,,NHP_acute,acute,P7S4_221024_301_A01,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,452,452,L3
96,SS22.26.035.11.01.04,1.070509116,2.145280383,9.678706845,96.355605,28.509803,103.149553,0.004463412,0.045563155,-0.837582887,2.195170625,0.001160506,-63.66092529,86.50579298,65.75348519,65.75348519,1.315607724,0.191547543,-62.19199753,11.856243,SC22.26.035,S.sciureus,,NHP_acute,acute,none,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,270,270,L3
97,SS22.26.035.11.01.05,1.089009339,2.943524247,11.52464578,92.575871,35.451082,100.815988,-0.141881534,0.039068699,-1.06965954,0.997804829,0.000659145,-71.76008896,80.63053647,68.60331767,68.60331767,1.17531541,0.125700161,-71.34687042,10.506216,SC22.26.035,S.sciureus,,NHP_acute,acute,none,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,504,504,L3
98,SS22.26.035.11.03.01,1.032748672,2.151066929,4.452208295,241.848703,39.203893,249.768927,-0.402794886,-0.011368875,-1.038536354,0.550272935,0.000323418,-66.61377643,274.6018796,243.9653139,243.9653139,1.125577547,0.101205543,-64.90422058,31.073351,SC22.26.035,S.sciureus,,NHP_acute,acute,PKS4_221024_225_A01,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,470,470,L3
99,SS22.26.035.11.03.02,1.208882721,2.550760127,8.302474137,151.600183,44.650057,183.266842,-0.203309033,0.104983457,-1.214975722,1.450432229,0.002800482,-68.1196847,152.355159,111.8978882,111.8978882,1.361555267,0.2332405,-65.89016724,14.739481,SC22.26.035,S.sciureus,,NHP_acute,acute,,M1,Motor,,,,,,,MCx,,,,,,,,,,,,,,525,525,L3
