cell_name,hier_class_assignment,hier_neighborhood_assignment,hier_subclass_assignment,hier_cluster_assignment,hier_subclass_bootstrap_prob,hier_subclass_avg_corr,subclass_Corr,subclass_Tree,cluster_Corr_label,predicted_subclass,Cortical_area,Species,LIMS_depth,Depth_from_pia,Genes.Detected,percent_reads_aligned_to_introns,marker_sum_norm_label,quality_score_label,score.Corr_label,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR4,HTR5A,HTR6,HTR7,htr1a_status,htr1b_status,HTR1_sum,HTR2_sum,HTR0_sum,HTR_balance
QN23.26.014.20.22.04,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,10221,53.640355495975726,1.0328343419572021,0.6704124170561773,0.7452514870617809,0,0,3.198519273337794,0,4.511832308837191,7.101566011729678,3.573723497556805,1.8979064083932213,3.871212798020542,0,1.8979064083932213,5.64619028478973,provisional_seurat_primary,provisional_seurat_primary,7.710351582174985,12.573195917679705,11.415309491203494,4.86284433550472
QN23.26.014.20.06.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,MCx,M.nemestrina,NA,1123,8074,45.83802160030857,0.8337567654423929,0.6189671905497851,0.7448287206382074,0,0,0,0,0,8.70664803400349,4.980249039082886,3.2227860803221255,0,0,3.2227860803221255,4.980249039082886,provisional_seurat_primary,provisional_seurat_primary,0,16.9096831534085,8.203035119405012,16.9096831534085
QN23.26.014.20.07.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,MCx,M.nemestrina,NA,358,1480,9.277085775744995,0.44036303643398056,0.32555629092026633,0.4274562455107795,3.4563796059235363,0,0,3.4563796059235363,0,0,0,0,0,0,0,0,provisional_seurat_primary,provisional_seurat_primary,6.912759211847073,0,0,-6.912759211847073
QN23.26.014.20.25.01,NA,NA,NA,NA,NA,NA,L5_ET,L2/3_IT,L5 ET_1,NA,TCx,M.nemestrina,NA,1134,6901,46.49892176399501,0.8493532700960414,0.5213476813301497,0.6680787327080667,0,0,0,6.149724203643892,6.673973034242544,6.7278974306078645,5.452104105722168,0,6.617954551357388,0,0,4.049221679751272,provisional_seurat_primary,provisional_seurat_primary,12.823697237886435,12.180001536330032,10.66717623110866,-0.6436957015564033
QN23.26.015.20.20.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L5_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,901,48.59875945512338,0.7329158188135609,0.38094224000345406,0.4282623462904079,0,0,0,7.98889163191127,0,6.994559570506372,0,0,0,0,0,6.994559570506372,provisional_seurat_primary,provisional_seurat_primary,7.98889163191127,6.994559570506372,6.994559570506372,-0.994332061404898
QN23.26.015.20.CX26.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L6b,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,8998,13.567857115721319,0.47632663662693764,0.21825105815981038,0.4598374990881823,0,0,0,3.2244229819676664,3.2244229819676664,3.2244229819676664,3.2244229819676664,3.2244229819676664,0,0,0,0,provisional_seurat_primary,provisional_seurat_primary,6.448845963935333,9.673268945902999,0,3.224422981967666
QN23.26.016.20.03.01,NA,NA,NA,NA,NA,NA,L5_ET,L5_ET,L5 ET_2,NA,TCx,M.nemestrina,NA,1619,9256,50.295549655134174,0.9365733075173468,0.630203784981951,0.75639284403416,0,0,0,4.825170788536481,1.562387799872963,7.260843925096531,0,0,0,0,4.921309636006922,7.16591042386173,provisional_seurat_primary,provisional_seurat_primary,6.387558588409444,7.260843925096531,12.087220059868653,0.8732853366870872
QN23.26.016.20.04.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,830,1385,7989,51.33637361214134,0.9530581740205074,0.6712607613295138,0.7561971128839947,0,0,0,4.531840021897432,1.59073707392816,6.903398478352202,3.17761930745369,0,0,0,0,0,provisional_seurat_primary,provisional_seurat_primary,6.1225770958255925,10.081017785805892,0,3.9584406899803
QN23.26.016.20.20.03,NA,NA,NA,NA,NA,NA,L5_IT,L5_IT,L5 IT_2,NA,TCx,M.nemestrina,NA,NA,6931,34.099124161857105,0.9186772342258671,0.5928195381142385,0.6940646412957973,0,2.6427255270022036,0,5.021063123460665,5.740146031574212,6.112415486042279,0,4.064823463936626,0,0,0,4.064823463936626,provisional_seurat_primary,provisional_seurat_primary,13.40393468203708,10.177238949978904,4.064823463936626,-3.226695732058177
QN23.26.016.20.23.04,NA,NA,NA,NA,NA,NA,L2/3_IT,L6_CT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,3461,21.308806168904216,0.706919062560698,0.2984886442299198,0.41171155779111474,0,0,0,0,4.523953005131366,5.899255247254362,0,3.970009080941289,0,0,0,4.523953005131366,provisional_seurat_primary,provisional_seurat_primary,4.523953005131366,9.869264328195651,4.523953005131366,5.345311323064285
QN23.26.016.20.24.05,NA,NA,NA,NA,NA,NA,L4_IT,L2/3_IT,L2/3 IT_2,NA,TCx,M.nemestrina,NA,NA,7512,26.079619084267332,0.8957161497188436,0.6012257932913462,0.6923319792147267,0,0,0,4.6425078949898495,6.408002966542091,3.6991433041547825,0,4.6425078949898495,4.9528371371334305,0,0,6.188439306772003,provisional_seurat_primary,provisional_seurat_primary,11.05051086153194,8.341651199144632,11.141276443905433,-2.708859662387308
QN23.26.016.20.05.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L4_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,1314,7850,59.651094480932166,1.0116062690801917,0.6471906293866241,0.7360036539902802,0,0,0,0,7.1138370914462605,8.948242226697872,0,0,0,0,4.751951876556365,0,provisional_seurat_primary,provisional_seurat_primary,7.1138370914462605,8.948242226697872,4.751951876556365,1.834405135251611
QN23.26.016.20.25.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,10756,21.027411360769406,0.8893043113881693,0.6539689426883986,0.742380460483327,0,0,0,1.954282748498911,3.942623430566467,8.22893480449881,0,0,4.894930349744486,0,2.7549867454812893,3.643963372263054,provisional_seurat_primary,provisional_seurat_primary,5.896906179065378,8.22893480449881,11.29388046748883,2.3320286254334315
QN23.26.016.20.26.02,NA,NA,NA,NA,NA,NA,L5_IT,L5_IT,L5 IT_2,NA,TCx,M.nemestrina,NA,NA,7342,47.40184835543151,0.8966314074137677,0.5913689459434779,0.6851953221013649,0,0,0,0,5.660922183304844,7.172671225203481,0,0,3.587497661994194,5.306476212894091,0,5.090146991014369,provisional_seurat_primary,provisional_seurat_primary,5.660922183304844,7.172671225203481,13.984120865902653,1.5117490418986366
QN23.26.016.20.CX01.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,11291,19.70232413947162,0.7833150425282637,0.41291649948479126,0.6958542714881548,0,3.930928275512444,0,3.6866889936055465,1.7550312972897129,1.7550312972897129,3.0225470016800173,1.7550312972897129,4.629552700789429,0,0,2.5237307575683396,provisional_seurat_primary,provisional_seurat_primary,9.372648566407703,6.532609596259443,7.153283458357768,-2.8400389701482602
QN23.26.016.20.CX09.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,9665,35.38167462271019,0.8725986291070895,0.4155046125349978,0.5919998561075646,1.8771932233183737,0,3.1732537657117312,3.1732537657117312,5.0480251180543245,0,0,5.160143957325859,1.8771932233183737,0,0,5.694833846269162,provisional_seurat_primary,provisional_seurat_primary,13.27172587279616,5.160143957325859,7.572027069587536,-8.111581915470301
QN23.26.017.20.01.02,NA,NA,NA,NA,NA,NA,L5_ET,L5_ET,L5 ET_2,NA,TCx,M.nemestrina,NA,1769,9106,62.71238468280311,1.0136951479767846,0.6562717055224762,0.7755047701875483,0,0,1.5216158577926717,0,1.5216158577926717,7.1042536568196475,2.245571375560304,1.5216158577926717,4.662468581516458,0,1.5216158577926717,5.97147702304794,provisional_seurat_primary,provisional_seurat_primary,3.0432317155853434,10.871440890172623,12.155561462357069,7.82820917458728
QN23.26.017.20.03.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,830,1039,9591,44.19470266739696,0.9462978992906118,0.6224460320677424,0.7037055794419483,4.629947372692501,0,2.52407053148719,4.14013205167148,1.7553207443972423,6.84610031995031,0,1.7553207443972423,6.987874782014306,0,4.14013205167148,3.9313125981141295,provisional_seurat_primary,provisional_seurat_primary,13.049470700248413,8.601421064347551,15.059319431799915,-4.448049635900862
QN23.26.017.20.20.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,7750,39.670807054119656,0.9889830154321979,0.5689084863066477,0.6673205818606837,0,0,2.540408191271193,3.9497783956265544,2.540408191271193,8.338847340553777,0,2.540408191271193,5.471116640203251,0,0,2.540408191271193,provisional_seurat_primary,provisional_seurat_primary,9.03059477816894,10.87925553182497,8.011524831474443,1.8486607536560307
QN23.26.017.20.20.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,10435,44.79905496997287,0.9964300590172163,0.7009202353539472,0.7231775960850141,0,0,0,2.063050756303403,8.780241941288049,7.996022630514146,2.063050756303403,0,5.0350476235164,0,3.39726495606346,6.082202091061233,provisional_seurat_primary,provisional_seurat_primary,10.843292697591451,10.059073386817548,14.514514670641093,-0.7842193107739028
QN23.26.017.20.22.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L6b,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,6114,34.866249938175024,0.9006021310199694,0.4428322538641035,0.3819736657688822,0,0,5.020058731777779,0,5.236085455256351,5.997654810014366,0,6.111394151635826,4.765889377586174,0,3.521386835550048,5.874175085791332,provisional_seurat_primary,provisional_seurat_primary,10.256144187034131,12.109048961650192,14.161451298927554,1.8529047746160607
QN23.26.017.20.23.01,NA,NA,NA,NA,NA,NA,L2/3_IT,Sncg,L2/3 IT_1,NA,TCx,M.nemestrina,NA,NA,8095,37.42409812700984,0.8902831839735983,0.4012998023388249,0.3887009183238342,0,0,0,5.090783764203511,6.4566530711272865,4.13250916239395,0,5.404219986934308,6.815568332403998,0,0,4.904173851772234,provisional_seurat_primary,provisional_seurat_primary,11.547436835330798,9.536729149328258,11.719742184176233,-2.01070768600254
QN23.26.018.20.21.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,MCx,M.nemestrina,NA,NA,9049,49.1429425144343,0.981367375378994,0.6634694159529747,0.6844565870110112,0,0,2.7121340666389955,5.21310874151105,6.247247459969245,6.657529184345739,0,1.9170311637417285,1.9170311637417285,5.414364531347315,2.7121340666389955,2.7121340666389955,provisional_seurat_primary,provisional_seurat_primary,14.17249026811929,8.574560348087468,12.755663828367036,-5.597929920031822
QN23.26.020.20.01.01,NA,NA,NA,NA,NA,NA,L5_IT,L5_IT,L5 IT_2,NA,FCx,M.nemestrina,NA,1394,8026,45.62383763510283,0.9656714869646044,0.6614741864788121,0.7412738397963403,0,0,0,0,6.8788679669426545,8.455635058638718,0,0,8.185629572102478,0,0,4.5283710098118926,provisional_seurat_primary,provisional_seurat_primary,6.8788679669426545,8.455635058638718,12.71400058191437,1.5767670916960634
QN23.26.020.20.02.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,753,4837,50.2830687973004,0.882378825798163,0.5792963719704703,0.7727668298513816,0,0,0,5.059323688228139,0,6.187330952214301,0,0,0,0,0,0,provisional_seurat_primary,provisional_seurat_primary,5.059323688228139,6.187330952214301,0,1.128007263986162
QN23.26.020.20.02.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_3,NA,FCx,M.nemestrina,NA,280,7758,53.95718124214349,0.8743385281438846,0.5703615699167691,0.7049928252028541,2.9533963385284308,0,0,0,0,9.295425622087631,0,2.128574492895705,0,4.806469212613256,4.806469212613256,3.4748974948983,provisional_seurat_primary,provisional_seurat_primary,2.9533963385284308,11.424000114983336,13.087835920124812,8.470603776454904
QN23.26.020.20.CW06.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,TCx,M.nemestrina,NA,1406,7130,61.095867131137716,1.0332316644877317,0.6712215460324275,0.7189609779417577,0,0,0,6.3382068654613635,7.714174256066607,6.88005269135016,2.8372880784636476,2.0262253000822388,4.677339945241367,4.492727304010255,0,8.282676392767458,provisional_seurat_primary,provisional_seurat_primary,14.05238112152797,11.743566069896048,17.45274364201908,-2.308815051631923
QN23.26.020.20.CW05.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_3,NA,TCx,M.nemestrina,NA,1382,6390,55.582741008604195,0.8642694065910477,0.5567758009089702,0.6325325786300064,0,0,0,4.763214761342263,0,5.26176156099245,0,2.2438559800683056,6.0929483138442,0,0,0,provisional_seurat_primary,provisional_seurat_primary,4.763214761342263,7.505617541060755,6.0929483138442,2.7424027797184927
QN23.26.021.20.01.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,542,7741,42.11023907759791,0.9425055584266507,0.62120252780985,0.7928104825978398,0,0,0,6.1187732568027835,0,6.5097107612826495,0,0,3.562488266177599,5.21133843477016,0,0,provisional_seurat_primary,provisional_seurat_primary,6.1187732568027835,6.5097107612826495,8.773826700947758,0.39093750447986597
QN23.26.021.20.01.02,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,687,8402,46.34110880111138,0.9625943679375624,0.698182796739589,0.7324264907600688,0,3.668085607928097,0,0,4.358924220147409,6.884073380803096,3.1387822205791926,0,0,0,0,0,provisional_seurat_primary,provisional_seurat_primary,8.027009828075506,10.022855601382288,0,1.9958457733067814
QN23.26.021.20.02.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,789,7577,47.13020540321541,0.9066447939684747,0.6064529804241507,0.6985779053190455,0,0,0,3.4738661309550904,6.023119234863083,8.025170900106874,3.4738661309550904,0,0,5.485833933525465,0,0,provisional_seurat_primary,provisional_seurat_primary,9.496985365818173,11.499037031061963,5.485833933525465,2.0020516652437905
QN23.26.021.20.03.01,NA,NA,NA,NA,NA,NA,L2/3_IT,L2/3_IT,L2/3 IT_1,NA,FCx,M.nemestrina,NA,531,7501,46.58400859326603,0.8986103360398535,0.6283293376873526,0.7701728279678703,0,0,0,5.968512227140137,0,8.850235753409201,0,0,6.879588713120316,3.8044947042923556,2.0851077800182574,3.8044947042923556,provisional_seurat_primary,provisional_seurat_primary,5.968512227140137,8.850235753409201,16.573685901723284,2.881723526269064
