"",score.Corr,score.Tree,class_Corr,subclass_Corr,cluster_Corr,class_Tree,subclass_Tree,cluster_Tree,cluster,cluster_score,res.index,quality_score,marker_sum_norm,Norm_Marker_Sum.0.4,contaminationType,contam_sum,Tree_call,Tree_first_cor,Tree_first_bt,Tree_second_bt,Tree_first_KL,Tree_second_KL,number_genes_CPMgt0,number_genes_CPMgt1
AB-S40370_S124_E1-50,0.656812154555727,0.43,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_10,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,n76,0.82,0.732730683950196,0.391479622175317,0.839540875006539,TRUE,Endothelial,0.774296247877416,I1,0.656812154555727,0.89,0.11,0.0197403512879462,0.970069379606274,6084,6084
AB-S40370_S125_E1-50,0.696019117001628,0.65,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_13,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_13,n79,1.00,0.813406106089033,0.489767687726594,0.820434652577344,TRUE,Astrocyte,1.97922187511862,PoorQ,0.696019117001628,0.56,0.4,5.41590216577793,5.56911415425317,9903,9903
AB-S40370_S126_E1-50,0.817912410371013,0.53,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,n81,0.96,0.878560463926318,0.591630612633902,0.965984743307887,TRUE,Astrocyte,0.209168811490136,PoorQ,0.817912410371013,0.28,0.19,7.46757318153461,7.77186083288791,7020,7020
AB-S40370_S127_E1-50,0.740685939151667,0.52,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_1,n74,1.00,0.692819375746205,0.491287924426572,0.817728932812495,TRUE,Astrocyte,0.403243721948046,PoorQ,0.740685939151667,0.32,0.26,7.17214609747979,7.47103950421655,5692,5692
AB-S40370_S128_E1-50,0.703033995072323,0.63,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_6,n77,0.93,0.83182670987549,0.558056901786655,0.853865076258416,TRUE,VLMC,0.811134303076159,PoorQ,0.703033995072323,0.41,0.37,4.78009200045808,7.22015599548459,7516,7516
AB-S40370_S131_E1-50,0.269978325618479,0.31,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_7,Neuronal: Glutamatergic,L6b,L6b_2,n1,1,0,0.179875435557943,0.14919689266234,FALSE,Microglia.PVM,0.0405570566470589,PoorQ,0.269978325618479,0.61,0.12,5.13685271337195,7.60760914105358,2191,2191
AB-S40370_S134_E1-50,0.758084960876846,0.96,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,L2/3 IT_8,0.96,1,0.438685487216894,0.951147642373789,TRUE,Endothelial,0.775917775978008,PoorQ,0.758084960876846,0.28,0.12,7.76842744934748,8.17398656282717,7935,7935
AB-S40370_S135_E1-50,0.278068827247255,0.62,Neuronal: Glutamatergic,L6 CT,L6 CT_3,Neuronal: Glutamatergic,L5 ET,L5 ET_2,n70,0.76,0.355961112058673,0.0998266270309636,0.331342197115397,FALSE,Microglia.PVM,0.886680764623104,PoorQ,0.278068827247255,0.83,0.17,0.134871318501106,1.181788722181,4178,4178
AB-S40370_S136_E1-50,0.730556920865421,0.87,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,Neuronal: Glutamatergic,L2/3 IT,L2/3 IT_8,L2/3 IT_8,0.87,1,0.478169337413641,0.875032145921041,TRUE,Endothelial,1.05460073238983,I1,0.730556920865421,0.79,0.16,0.301587849140897,1.29343427352756,8615,8615
AB-S40370_S154_E1-50,0.194889689868353,0.24,Neuronal: Glutamatergic,L6b,L6b_2,Neuronal: Glutamatergic,L5/6 NP,L5/6 NP_3,n70,0.72,0.355961112058673,0.0417177207349301,0.351983756190982,FALSE,Microglia.PVM,1.35841383724561,PoorQ,0.194889689868353,0.24,0.23,7.75249151863166,8.1108713131917,5076,5076
